"","Communication_catP","Communication_catB","NoOfContacts","DaysPassed","PrevAttempts_catP","PrevAttempts_catB","past_Outcome_catP","past_Outcome_catB","carMake_catP","carMake_catB","carModel_catP","carModel_catB","carYr","annualDonations_catP","annualDonations_catB","EstRace_catP","EstRace_catB","DigitalHabits_5_AlwaysOn","Age","Job_catP","Job_catB","Marital_catP","Marital_catB","Education_catP","Education_catB","RecentBalance","CarLoan","Weekday_catP","Weekday_catB","CallDayTime","call_dur_min","Communication_lev_x_cellular","Communication_lev_x_not_provided","Communication_lev_x_telephone","PrevAttempts_lev_x_0","PrevAttempts_lev_x_1","PrevAttempts_lev_x_2","PrevAttempts_lev_x_3","past_Outcome_lev_x_failure","past_Outcome_lev_x_Not_Available","past_Outcome_lev_x_other","past_Outcome_lev_x_success","carMake_lev_x_","carMake_lev_x_Audi","carMake_lev_x_BMW","carMake_lev_x_Chevrolet","carMake_lev_x_Dodge","carMake_lev_x_Ford","carMake_lev_x_GMC","carMake_lev_x_Honda","carMake_lev_x_Lexus","carMake_lev_x_Mazda","carMake_lev_x_Mercedes_minus_Benz","carMake_lev_x_Mitsubishi","carMake_lev_x_Nissan","carMake_lev_x_Pontiac","carMake_lev_x_Toyota","carMake_lev_x_Volkswagen","carModel_lev_x_","headOfhouseholdGender_lev_x_F","headOfhouseholdGender_lev_x_M","annualDonations_lev_x_","EstRace_lev_x_","PetsPurchases_lev_x_FALSE","PetsPurchases_lev_x_TRUE","AffluencePurchases_lev_x_FALSE","AffluencePurchases_lev_x_TRUE","Job_lev_x_admin_","Job_lev_x_blue_minus_collar","Job_lev_x_entrepreneur","Job_lev_x_housemaid","Job_lev_x_management","Job_lev_x_retired","Job_lev_x_self_minus_employed","Job_lev_x_services","Job_lev_x_student","Job_lev_x_technician","Job_lev_x_unemployed","Marital_lev_x_divorced","Marital_lev_x_married","Marital_lev_x_single","Education_lev_x_Not_Available","Education_lev_x_primary","Education_lev_x_secondary","Education_lev_x_tertiary","DefaultOnRecord_lev_x_0","HHInsurance_lev_x_0","HHInsurance_lev_x_1","Weekday_lev_x_Friday","Weekday_lev_x_Monday","Weekday_lev_x_Saturday","Weekday_lev_x_Sunday","Weekday_lev_x_Thursday","Weekday_lev_x_Tuesday","Weekday_lev_x_Wednesday","Y_AcceptedOffer"
"11",0.70775,0.256221076833498,1,-1,0.7605,-0.246328973197271,0.7605,-0.246328973197271,0.01975,0.0168894486284429,0.00075,-0.291797034108685,2019,0.00025,-8.80914021677555,0.0035,0.113622244355091,4,27,0.0825,-0.264695607151773,0.30325,0.250976518675894,0.497,-0.142933695421941,0,0,0.1075,0.644349954469265,13,3.01666666666677,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,"0"
"12",0.70775,0.256221076833498,1,-1,0.7605,-0.246328973197271,0.7605,-0.246328973197271,0.02775,-0.374083587245781,0.00175,0.113626410839473,2011,0.892,-0.011410495784355,0.76275,0.0157348660073867,3,53,0.18975,-0.501196988105118,0.576,-0.167363876166577,0.14025,-0.228333385040276,-462,0,0.192,0.0379807602533071,16,7.83333333333333,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,"1"
"13",0.70775,0.256221076833498,1,-1,0.7605,-0.246328973197271,0.7605,-0.246328973197271,0.0105,0.113619466631325,0.00075,1.09439733451062,2018,0.892,-0.011410495784355,0.76275,0.0157348660073867,1,44,0.165,-0.0677185949869056,0.576,-0.167363876166577,0.497,-0.142933695421941,2776,0,0.1075,0.644349954469265,16,11.6833333333333,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,"1"
"14",0.2255,-1.07324444001214,2,-1,0.7605,-0.246328973197271,0.7605,-0.246328973197271,0.08325,0.0679161282287491,0.004,-0.109518806987243,2015,0.00025,-8.80914021677555,0.003,-1.99650421846484,3,38,0.035,-0.0640624104281491,0.12075,0.138935995623541,0.497,-0.142933695421941,2674,0,0.17025,-0.325072445401848,10,2.71666666666672,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,"0"
"15",0.70775,0.256221076833498,8,97,0.00125,1.78751951600803,0.04875,0.288359855102989,0.012,-0.0215548857449373,0.001,1.49984577664654,2015,0.892,-0.011410495784355,0.76275,0.0157348660073867,2,25,0.0825,-0.264695607151773,0.30325,0.250976518675894,0.04225,0.270938487049215,2022,0,0.192,0.0379807602533071,14,4.59999999999992,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,"1"
"16",0.70775,0.256221076833498,1,114,0.03125,0.907860529573651,0.10925,0.00726392295639489,0.04475,-0.160510367030132,0.003,-0.291834530593347,2007,0.892,-0.011410495784355,0.76275,0.0157348660073867,5,61,0.22325,0.155955944407796,0.30325,0.250976518675894,0.3205,0.273200167612751,2,0,0.192,0.0379807602533071,16,2.18333333333325,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,"1"
"17",0.06675,0.243671324560982,3,362,0.01975,0.733433128835825,0.04875,0.288359855102989,0.01525,-0.171217061225424,0.00175,-0.514960582723147,2019,0.892,-0.011410495784355,0.00225,0.178161598774262,3,34,0.11475,0.00852804446818067,0.30325,0.250976518675894,0.497,-0.142933695421941,69,0,0.192,0.0379807602533071,11,1.53333333333331,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,"0"
"18",0.70775,0.256221076833498,4,95,0.06275,0.665779112367418,0.04875,0.288359855102989,0.021,0.401300150200969,0.03275,0.0464793280612411,2012,0.892,-0.011410495784355,0.76275,0.0157348660073867,4,46,0.22325,0.155955944407796,0.576,-0.167363876166577,0.3205,0.273200167612751,7331,0,0.17025,-0.325072445401848,11,10.9666666666666,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,"1"
"19",0.70775,0.256221076833498,1,169,0.06275,0.665779112367418,0.10925,0.00726392295639489,0.021,0.401300150200969,0.00425,0.51908179698486,2019,0.892,-0.011410495784355,0.76275,0.0157348660073867,5,49,0.18975,-0.501196988105118,0.576,-0.167363876166577,0.497,-0.142933695421941,2039,0,0.192,0.0379807602533071,12,7.51666666666667,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,"1"
"20",0.06675,0.243671324560982,1,-1,0.7605,-0.246328973197271,0.7605,-0.246328973197271,0.01825,0.153464672270089,0.00125,-0.00414829193494404,2019,0.892,-0.011410495784355,0.76275,0.0157348660073867,3,50,0.18975,-0.501196988105118,0.576,-0.167363876166577,0.14025,-0.228333385040276,82,0,0.0365,0.704982141572747,10,7.59999999999999,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,"1"
"21",0.2255,-1.07324444001214,8,-1,0.7605,-0.246328973197271,0.7605,-0.246328973197271,0.08125,0.122586921477013,0.00275,0.960905224061132,2019,0.892,-0.011410495784355,0.76275,0.0157348660073867,5,57,0.18975,-0.501196988105118,0.576,-0.167363876166577,0.497,-0.142933695421941,773,1,0.199,-0.112206305551059,9,1.61666666666663,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,"0"
"22",0.06675,0.243671324560982,3,91,0.001,0.401300150200969,0.0815,2.51927284238683,0.08325,0.0679161282287491,0.00075,-0.291797034108685,2011,0.892,-0.011410495784355,0.00175,-0.514960582723147,5,80,0.06225,0.750177497737627,0.576,-0.167363876166577,0.497,-0.142933695421941,8304,0,0.19425,0.0978342893645614,17,10.1000000000001,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,"1"
"23",0.70775,0.256221076833498,2,-1,0.7605,-0.246328973197271,0.7605,-0.246328973197271,0.0145,0.401300150200969,0.002,-0.697278806244879,2004,0.892,-0.011410495784355,0.76275,0.0157348660073867,1,31,0.22325,0.155955944407796,0.30325,0.250976518675894,0.3205,0.273200167612751,0,0,0.17025,-0.325072445401848,14,3.63333333333347,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,"0"
"24",0.70775,0.256221076833498,1,119,0.06275,0.665779112367418,0.0815,2.51927284238683,0.01875,0.105836736723559,0.0015,0.401300150200969,2003,0.892,-0.011410495784355,0.76275,0.0157348660073867,2,63,0.06225,0.750177497737627,0.576,-0.167363876166577,0.497,-0.142933695421941,2896,0,0.192,0.0379807602533071,15,5.06666666666661,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,"1"
"25",0.70775,0.256221076833498,1,558,0.00525,1.31758088219179,0.04875,0.288359855102989,0.00425,0.283518503417078,0.00125,0.806748592336881,1997,0.892,-0.011410495784355,0.76275,0.0157348660073867,2,60,0.165,-0.0677185949869056,0.576,-0.167363876166577,0.497,-0.142933695421941,824,0,0.0365,0.704982141572747,16,2.11666666666678,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,"1"
"26",0.70775,0.256221076833498,2,-1,0.7605,-0.246328973197271,0.7605,-0.246328973197271,0.02625,0.382251991514675,0.00125,-0.00414829193494404,2009,0.00025,-8.80914021677555,0.003,0.0648336277675127,2,29,0.22325,0.155955944407796,0.576,-0.167363876166577,0.3205,0.273200167612751,900,0,0.17025,-0.325072445401848,17,4.5833333333333,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,"0"
"27",0.70775,0.256221076833498,3,-1,0.7605,-0.246328973197271,0.7605,-0.246328973197271,0.021,0.401300150200969,5e-04,0.401300150200969,2019,0.00025,-8.80914021677555,0.76275,0.0157348660073867,4,54,0.22325,0.155955944407796,0.576,-0.167363876166577,0.14025,-0.228333385040276,3859,1,0.17025,-0.325072445401848,10,1.73333333333334,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,"0"
"28",0.70775,0.256221076833498,3,-1,0.7605,-0.246328973197271,0.7605,-0.246328973197271,0.02825,-0.200278706698687,0.00025,9.61174051717858,2017,0.892,-0.011410495784355,0.76275,0.0157348660073867,1,45,0.00475,0.295940745642525,0.12075,0.138935995623541,0.04225,0.270938487049215,0,0,0.19425,0.0978342893645614,12,4.63333333333331,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,"1"
"29",0.2255,-1.07324444001214,3,-1,0.7605,-0.246328973197271,0.7605,-0.246328973197271,0.03775,-0.0989426736792806,5e-04,0.401300150200969,2019,0.892,-0.011410495784355,0.76275,0.0157348660073867,3,34,0.0825,-0.264695607151773,0.576,-0.167363876166577,0.497,-0.142933695421941,-62,0,0.19425,0.0978342893645614,13,1.81666666666674,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,"0"
"30",0.2255,-1.07324444001214,14,-1,0.7605,-0.246328973197271,0.7605,-0.246328973197271,0.08325,0.0679161282287491,0.00075,-0.291797034108685,2002,0.892,-0.011410495784355,0.76275,0.0157348660073867,5,42,0.18975,-0.501196988105118,0.576,-0.167363876166577,0.14025,-0.228333385040276,832,0,0.1005,-0.525461351570046,10,0.216666666666647,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,"0"
"31",0.06675,0.243671324560982,3,84,0.03125,0.907860529573651,0.0815,2.51927284238683,0.08125,0.122586921477013,0.00025,9.61174051717858,1996,0.892,-0.011410495784355,0.76275,0.0157348660073867,2,54,0.165,-0.0677185949869056,0.576,-0.167363876166577,0.497,-0.142933695421941,0,0,0.199,-0.112206305551059,11,12.7666666666666,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,"1"
"32",0.70775,0.256221076833498,1,194,0.03125,0.907860529573651,0.10925,0.00726392295639489,0.012,-0.0215548857449373,0.003,0.401300150200969,2011,0.892,-0.011410495784355,0.76275,0.0157348660073867,1,32,0.11475,0.00852804446818067,0.30325,0.250976518675894,0.497,-0.142933695421941,6981,0,0.19425,0.0978342893645614,10,2.56666666666669,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,"0"
"33",0.70775,0.256221076833498,3,-1,0.7605,-0.246328973197271,0.7605,-0.246328973197271,0.08325,0.0679161282287491,5e-04,0.401300150200969,2003,0.892,-0.011410495784355,0.003,0.737766672634425,4,57,0.06225,0.750177497737627,0.30325,0.250976518675894,0.3205,0.273200167612751,842,0,0.199,-0.112206305551059,10,4.73333333333333,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,"1"
"34",0.70775,0.256221076833498,2,-1,0.7605,-0.246328973197271,0.7605,-0.246328973197271,0.08325,0.0679161282287491,0.0045,-0.0506797787976115,2019,0.892,-0.011410495784355,0.76275,0.0157348660073867,3,36,0.22325,0.155955944407796,0.12075,0.138935995623541,0.3205,0.273200167612751,1057,0,0.192,0.0379807602533071,15,6.38333333333327,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,"0"
"35",0.2255,-1.07324444001214,7,-1,0.7605,-0.246328973197271,0.7605,-0.246328973197271,0.02825,-0.200278706698687,0.00125,-10.4184981340093,2019,0.892,-0.011410495784355,0.76275,0.0157348660073867,5,34,0.18975,-0.501196988105118,0.30325,0.250976518675894,0.497,-0.142933695421941,1698,0,0.192,0.0379807602533071,13,0.649999999999942,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,"0"
"36",0.70775,0.256221076833498,1,-1,0.7605,-0.246328973197271,0.7605,-0.246328973197271,0.04475,-0.160510367030132,0.00025,-8.80914021677555,2002,0.892,-0.011410495784355,0.76275,0.0157348660073867,3,39,0.18975,-0.501196988105118,0.576,-0.167363876166577,0.497,-0.142933695421941,300,0,0.199,-0.112206305551059,14,8.43333333333327,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,"0"
"37",0.2255,-1.07324444001214,3,-1,0.7605,-0.246328973197271,0.7605,-0.246328973197271,0.08125,0.122586921477013,0.00375,-0.00415940242879964,2015,0.892,-0.011410495784355,0.76275,0.0157348660073867,3,31,0.18975,-0.501196988105118,0.576,-0.167363876166577,0.497,-0.142933695421941,664,1,0.199,-0.112206305551059,11,16.45,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,"0"
