"","HHuniqueID","Communication","NoOfContacts","DaysPassed","PrevAttempts","carMake","carModel","carYr","headOfhouseholdGender","annualDonations","EstRace","PetsPurchases","DigitalHabits_5_AlwaysOn","AffluencePurchases","Age","Job","Marital","Education","DefaultOnRecord","RecentBalance","HHInsurance","CarLoan","Weekday","CallDayTime","past_Outcome","call_dur_min","Y_AcceptedOffer","DTPrediction.0","DTPrediction.1","RF1Prediction","RF500rediction.0","RF500rediction.1","RF100rediction.0","RF100rediction.1","trainingRFtc.0","trainingRFtc.1","trainingLG","trainingLGBoost.0","trainingLGBoost.1","trainingKNN.0","trainingKNN.1","combinedscore","rank"
"40","HHadfa1ce0fe","cellular",3,-1,0,"Scion","iQ",2019,"M","","",FALSE,2,TRUE,35,"admin.","married","secondary",0,216,1,1,"Tuesday",15,NA,1.16666666666664,0,0.894642857142857,0.105357142857143,0.0267222222222221,0.99,0.01,0.96,0.04,0.992,0.008,0.0482792303213926,0.993307149075715,0.00669285092428486,0.787234042553192,0.212765957446809,0.431095181549629,3400
"41","HH08c38e550a","not provided",2,-1,0,"Cadillac","Catera",2009,"M","","Uruguayan",FALSE,4,TRUE,32,"management","married","secondary",0,3935,1,0,"Friday",17,NA,2.15000000000002,0,0.894642857142857,0.105357142857143,0.00694444444444431,0.982,0.018,1,0,0.982,0.018,0.0124059482284481,0.993307149075715,0.00669285092428486,0.851063829787234,0.148936170212766,0.309392112222642,3715
"42","HH696b12b944","not provided",1,-1,0,"Lotus","Elise",2019,"M","","",FALSE,4,FALSE,40,"blue-collar","married","secondary",0,327,1,0,"Friday",11,NA,2.23333333333334,0,0.894642857142857,0.105357142857143,0.00333333333333303,1,0,0.98,0.02,1,0,0.0173913301225913,0.993307149075715,0.00669285092428486,0.893617021276596,0.106382978723404,0.255824302627423,3853
"43","HH6f356470f8","cellular",1,-1,0,"Infiniti","FX",2019,"M","","",FALSE,5,TRUE,35,"management","single","tertiary",0,2707,0,0,"Wednesday",9,NA,11.6500000000001,1,0.222222222222222,0.777777777777778,0.849111111111111,0.092,0.908,0.13,0.87,0.082,0.918,0.892650628443189,0.268941421369995,0.731058578630005,0.553191489361702,0.446808510638298,5.54429549548927,878
"44","HH67b362e719","cellular",1,176,1,"Bentley","Azure T",2019,"F","$334.20 ","",FALSE,3,FALSE,40,"admin.","married","secondary",0,2574,1,0,"Friday",10,"failure",7.20000000000001,1,0.222222222222222,0.777777777777778,0.879833333333333,0.108,0.892,0.12,0.88,0.138,0.862,0.999999999998816,0.00669285092428473,0.993307149075715,0.404255319148936,0.595744680851064,6.00082960770337,558
"45","HH1d6ceaedcc","cellular",1,-1,0,"Chevrolet","LUV",1989,"M","","",FALSE,3,TRUE,60,"management","married","tertiary",0,70,0,0,"Friday",11,NA,0.600000000000014,0,0.894642857142857,0.105357142857143,0.00944444444444427,0.992,0.008,1,0,1,0,3.08085760382991e-05,0.993307149075715,0.00669285092428486,0.765957446808511,0.234042553191489,0.354123355548955,3602
"46","HHe0678b0f6a","not provided",3,-1,0,"Chrysler","PT Cruiser",2019,"F","","Vietnamese",FALSE,4,FALSE,35,"blue-collar","single","secondary",0,0,1,0,"Wednesday",16,NA,1.88333333333336,0,0.894642857142857,0.105357142857143,-2.49060031857577e-16,1,0,0.99,0.01,1,0,1.01083457762134e-06,0.999088948805599,0.000911051194400645,0.914893617021277,0.0851063829787234,0.201375587864845,3950
"47","HHf4c6f20e60","cellular",1,-1,0,"Pontiac","Sunfire",2015,"F","","",TRUE,2,TRUE,42,"management","divorced","secondary",0,283,1,0,"Thursday",12,NA,12.6833333333333,1,0.222222222222222,0.777777777777778,0.876722222222222,0.122,0.878,0.1,0.9,0.098,0.902,0.585225266131434,0.268941421369995,0.731058578630005,0.574468085106383,0.425531914893617,5.19959353743283,1066
"48","HH61f7237347","cellular",2,-1,0,"BMW","745",2012,"M","","",FALSE,1,FALSE,79,"retired","divorced","primary",0,79,0,0,"Friday",16,NA,18.4333333333334,1,0.222222222222222,0.777777777777778,0.977166666666667,0.028,0.972,0.07,0.93,0.016,0.984,0.997466944114131,0.00669285092428473,0.993307149075715,0.319148936170213,0.680851063829787,6.33540293479741,207
"49","HH5bf0d252e3","not provided",4,-1,0,"Subaru","Loyale",2004,"M","$26.13 ","",TRUE,1,TRUE,46,"admin.","single","secondary",0,13,0,0,"Tuesday",17,NA,1.18333333333325,0,0.894642857142857,0.105357142857143,0.0133333333333331,0.988,0.012,0.98,0.02,0.994,0.006,1.3142366046857e-09,0.999876605424014,0.000123394575986232,0.872340425531915,0.127659574468085,0.271140113215451,3817
"50","HHd1a8601d10","cellular",4,-1,0,"Oldsmobile","98",2003,"M","","",FALSE,5,FALSE,33,"technician","divorced","secondary",0,464,0,0,"Tuesday",9,NA,3.44999999999998,0,0.894642857142857,0.105357142857143,0.141222222222222,0.888,0.112,0.83,0.17,0.888,0.112,0.166983407587383,0.731058578630005,0.268941421369995,0.702127659574468,0.297872340425532,1.23315431224005,2269
"51","HH2a31912b90","cellular",1,-1,0,"Infiniti","QX",2019,"F","","",FALSE,2,FALSE,54,"services","divorced",NA,0,0,1,0,"Thursday",16,NA,4.38333333333343,0,0.894642857142857,0.105357142857143,0.0722222222222222,0.938,0.062,0.86,0.14,0.968,0.032,0.171879416770317,0.268941421369995,0.731058578630005,0.617021276595745,0.382978723404255,1.62527386166172,2066
"52","HH50f9a43871","not provided",1,-1,0,"Mercury","Grand Marquis",2012,"M","$1,089.14 ","",TRUE,5,TRUE,46,"housemaid","married","primary",0,17,0,0,"Wednesday",10,NA,1.20000000000003,0,0.894642857142857,0.105357142857143,0.0136666666666664,0.99,0.01,0.98,0.02,0.996,0.004,5.31947778018497e-10,0.999876605424014,0.000123394575986232,0.74468085106383,0.25531914893617,0.394799686901247,3504
"53","HHf50b8026c1","cellular",1,-1,0,"Cadillac","Escalade ESV",2018,"F","","",FALSE,1,FALSE,47,"self-employed","married","secondary",0,4420,1,1,"Friday",13,NA,7.56666666666668,1,0.222222222222222,0.777777777777778,0.856166666666667,0.182,0.818,0.15,0.85,0.188,0.812,0.439040338955979,0.731058578630005,0.268941421369995,0.680851063829787,0.319148936170213,4.28490847427396,1344
"54","HHc6c517ee4e","telephone",3,-1,0,"Dodge","Ram 1500",2007,"M","","",FALSE,5,TRUE,78,"retired","married",NA,0,3208,0,0,"Wednesday",16,NA,5.84999999999996,1,0.294964028776978,0.705035971223022,0.932222222222222,0.05,0.95,0.06,0.94,0.066,0.934,0.884181125205924,0.268941421369995,0.731058578630005,0.425531914893617,0.574468085106383,5.71874376016533,778
"55","HHbcb018830e","cellular",1,-1,0,"GMC","Rally Wagon 2500",2004,"F","","Alaska Native",FALSE,2,FALSE,31,"blue-collar","married","secondary",0,326,0,1,"Wednesday",9,NA,2.06666666666662,0,0.894642857142857,0.105357142857143,0.020111111111111,0.984,0.016,0.96,0.04,0.984,0.016,0.0085368078304159,0.999088948805599,0.000911051194400645,0.617021276595745,0.382978723404255,0.569783725286215,3041
"56","HHa70fb3918e","telephone",3,-1,0,"","Impala",2019,"M","$1,219.23 ","",TRUE,4,TRUE,39,"services","married","secondary",0,52,0,0,"Sunday",16,NA,23.6666666666666,1,0.222222222222222,0.777777777777778,0.946611111111111,0.048,0.952,0,1,0.046,0.954,0.999999999981459,0.00669285092428473,0.993307149075715,0.468085106382979,0.531914893617021,6.20899982045197,316
"57","HH301d7478c4","cellular",1,171,5,"Mercedes-Benz","SL-Class",2006,"M","","",FALSE,3,TRUE,31,"admin.","married","secondary",0,457,1,0,"Saturday",14,"failure",4.71666666666655,0,0.894642857142857,0.105357142857143,0.127777777777778,0.894,0.106,0.9,0.1,0.928,0.072,0.324761777689228,0.268941421369995,0.731058578630005,0.723404255319149,0.276595744680851,1.71577324385723,2030
"58","HH7b4fa1e31c","cellular",1,327,1,"BMW","X3",2019,"F","","",FALSE,2,TRUE,46,"entrepreneur","divorced","secondary",0,1187,0,1,"Tuesday",17,"failure",1.53333333333331,0,0.888888888888889,0.111111111111111,0.0880555555555555,0.94,0.06,0.88,0.12,0.962,0.038,0.276818673560897,0.952574126822433,0.0474258731775668,0.638297872340426,0.361702127659574,1.01505778550915,2459
"59","HHef87ab562c","cellular",1,-1,0,"GMC","Sierra 2500",2017,"M","","",FALSE,1,FALSE,34,"management","single",NA,0,6013,1,0,"Monday",13,NA,10.2000000000002,1,0.222222222222222,0.777777777777778,0.877166666666667,0.138,0.862,0.1,0.9,0.132,0.868,0.769935478149371,0.0474258731775666,0.952574126822433,0.48936170212766,0.51063829787234,5.64092568062192,826
"60","HH2d81042181","cellular",1,-1,0,"Plymouth","Colt",2002,"F","","",FALSE,3,FALSE,52,"unemployed","married","secondary",0,5091,0,0,"Tuesday",12,NA,5.15000000000001,0,0.294964028776978,0.705035971223022,0.867833333333333,0.156,0.844,0.15,0.85,0.114,0.886,0.806016192879169,0.268941421369995,0.731058578630005,0.574468085106383,0.425531914893617,5.24764265762581,1045
"61","HHe5272f3e75","cellular",4,-1,0,"Mitsubishi","Eclipse",2005,"F","","",FALSE,3,TRUE,36,"management","divorced","tertiary",0,0,0,0,"Friday",15,NA,1.35000000000005,0,0.894642857142857,0.105357142857143,0.0175555555555554,0.974,0.026,0.97,0.03,0.986,0.014,0.161799219337155,0.731058578630005,0.268941421369995,0.617021276595745,0.382978723404255,0.989076506968548,2487
"62","HHa60c5c38d7","cellular",2,-1,0,"Hyundai","Veracruz",2019,"M","","Comanche",FALSE,5,FALSE,39,"entrepreneur","married","secondary",0,11887,0,0,"Wednesday",16,NA,19.6833333333334,1,0.222222222222222,0.777777777777778,0.943555555555556,0.054,0.946,0.06,0.94,0.054,0.946,0.964345109251184,0.268941421369995,0.731058578630005,0.51063829787234,0.48936170212766,5.79454316778663,731
"63","HHeb71dc4a1a","cellular",1,-1,0,"Mitsubishi","Galant",2019,"M","","",TRUE,1,FALSE,18,"student","single","primary",0,608,0,0,"Wednesday",13,NA,4.4499999999999,1,0.294964028776978,0.705035971223022,0.902222222222222,0.06,0.94,0.08,0.92,0.062,0.938,0.776651889615977,0.268941421369995,0.731058578630005,0.382978723404255,0.617021276595745,5.62776771606475,833
"64","HHe59d1b62ec","not provided",2,-1,0,"Jaguar","S-Type",2016,"F","","",TRUE,2,TRUE,60,"services","married","secondary",0,-46,0,0,"Saturday",16,NA,2.20000000000002,0,0.894642857142857,0.105357142857143,0.0138888888888887,0.994,0.006,1,0,0.988,0.012,0.0529325352739097,0.993307149075715,0.00669285092428486,0.872340425531915,0.127659574468085,0.310642103523422,3707
"65","HH2b0fec4129","cellular",4,-1,0,"Mitsubishi","GTO",2000,"M","","",FALSE,5,FALSE,36,"services","single","secondary",0,0,1,0,"Friday",9,NA,16.7000000000001,1,0.222222222222222,0.777777777777778,0.944833333333333,0.062,0.938,0.07,0.93,0.032,0.968,0.859880470540135,0.0474258731775666,0.952574126822433,0.574468085106383,0.425531914893617,5.85176429003396,683
"66","HH1863fe3c06","cellular",1,-1,0,"Chevrolet","Silverado 1500",2019,"F","","Menominee",TRUE,5,FALSE,57,"management","married","tertiary",0,473,0,0,"Monday",14,NA,4.91666666666674,1,0.294964028776978,0.705035971223022,0.824611111111111,0.17,0.83,0.25,0.75,0.162,0.838,0.956585110510278,0.0474258731775666,0.952574126822433,0.595744680851064,0.404255319148936,5.43645052770467,953
"67","HHd4f65a8732","cellular",1,-1,0,"Ford","Escape",2019,"F","","Alaskan Athabascan",TRUE,3,FALSE,28,"blue-collar","single","secondary",0,1955,0,0,"Wednesday",12,NA,0.416666666666679,0,0.894642857142857,0.105357142857143,0.0474444444444444,0.95,0.05,0.86,0.14,0.978,0.022,0.0344817019825555,0.952574126822433,0.0474258731775668,0.680851063829787,0.319148936170213,0.718413654187478,2787
