dataID,HHuniqueID,Communication.x,LastContactDay.x,LastContactMonth.x,NoOfContacts.x,DaysPassed.x,PrevAttempts.x,past_Outcome,CallStart.x,CallEnd.x,Y_AcceptedOffer,carMake,carModel,carYr,headOfhouseholdGender,annualDonations,EstRace,PetsPurchases,DigitalHabits_5_AlwaysOn,AffluencePurchases,Age.x,Job.x,Marital.x,Education.x,DefaultOnRecord,RecentBalance,HHInsurance.x,CarLoan.x,Age.y,Job.y,Marital.y,Education.y,Default,Balance,HHInsurance.y,CarLoan.y,Communication.y,LastContactDay.y,LastContactMonth.y,NoOfContacts.y,DaysPassed.y,PrevAttempts.y,Outcome,CallStart.y,CallEnd.y,CarInsurance
12,HH50d5899425,cellular,29,jan,1,-1,0,,16:45:50,16:53:40,Accepted,Honda,Odyssey,2011,F,,,TRUE,3,FALSE,53,blue-collar,married,primary,1,-462,0,0,53,blue-collar,married,primary,1,-462,0,0,cellular,29,jan,1,-1,0,,16:45:50,16:53:40,1
13,HH40d6625b07,cellular,27,jan,1,-1,0,,16:19:41,16:31:22,Accepted,Isuzu,i-Series,2018,F,,,TRUE,1,FALSE,44,technician,married,secondary,0,2776,1,0,44,technician,married,secondary,0,2776,1,0,cellular,27,jan,1,-1,0,,16:19:41,16:31:22,1
14,HH1053609743,,19,jun,2,-1,0,,10:29:56,10:32:39,DidNotAccept,Chevrolet,Impala,2015,F,$351.37 ,Sri Lankan,FALSE,3,TRUE,38,self-employed,divorced,secondary,0,2674,1,0,38,self-employed,divorced,secondary,0,2674,1,0,,19,jun,2,-1,0,,10:29:56,10:32:39,0
15,HHb47e7d94d5,cellular,29,jul,8,97,12,other,14:15:09,14:19:45,Accepted,Porsche,Cayenne,2015,F,,,FALSE,2,FALSE,25,services,single,,0,2022,0,0,25,services,single,,0,2022,0,0,cellular,29,jul,8,97,12,other,14:15:09,14:19:45,1
16,HHbee88255e4,cellular,12,aug,1,114,3,failure,16:18:48,16:20:59,Accepted,GMC,Savana 1500,2007,M,,,TRUE,5,FALSE,61,management,single,tertiary,0,2,0,0,61,management,single,tertiary,0,2,0,0,cellular,12,aug,1,114,3,failure,16:18:48,16:20:59,1
17,HH07334114dc,telephone,6,may,3,362,4,other,11:48:45,11:50:17,DidNotAccept,Acura,RL,2019,F,,Eskimo,FALSE,3,TRUE,34,admin.,single,secondary,0,69,1,0,34,admin.,single,secondary,0,69,1,0,telephone,6,may,3,362,4,other,11:48:45,11:50:17,0
18,HH51808510b3,cellular,11,sep,4,95,2,other,11:23:26,11:34:24,Accepted,Lexus,,2012,F,,,FALSE,4,TRUE,46,management,married,tertiary,0,7331,0,0,46,management,married,tertiary,0,7331,0,0,cellular,11,sep,4,95,2,other,11:23:26,11:34:24,1
19,HH549e143536,cellular,6,may,1,169,2,failure,12:42:54,12:50:25,Accepted,Lexus,LS,2019,F,,,TRUE,5,TRUE,49,blue-collar,married,secondary,0,2039,1,0,49,blue-collar,married,secondary,0,2039,1,0,cellular,6,may,1,169,2,failure,12:42:54,12:50:25,1
20,HH06633a4031,telephone,5,apr,1,-1,0,,10:34:08,10:41:44,Accepted,Lincoln,MKT,2019,M,,,TRUE,3,FALSE,50,blue-collar,married,primary,0,82,0,0,50,blue-collar,married,primary,0,82,0,0,telephone,5,apr,1,-1,0,,10:34:08,10:41:44,1
21,HH380dc273c1,,18,jun,8,-1,0,,9:05:50,9:07:27,DidNotAccept,Ford,Ranger,2019,F,,,TRUE,5,TRUE,57,blue-collar,married,secondary,0,773,1,1,57,blue-collar,married,secondary,0,773,1,1,,18,jun,8,-1,0,,09:05:50,09:07:27,0
22,HH5f28bd7f6b,telephone,8,sep,3,91,13,success,17:37:41,17:47:47,Accepted,Chevrolet,Silverado 3500,2011,M,,Cheyenne,FALSE,5,FALSE,80,retired,married,secondary,0,8304,0,0,80,retired,married,secondary,0,8304,0,0,telephone,8,sep,3,91,13,success,17:37:41,17:47:47,1
23,HHde2d5f4d9e,cellular,21,aug,2,-1,0,,14:28:54,14:32:32,DidNotAccept,Hyundai,Elantra,2004,F,,,TRUE,1,TRUE,31,management,single,tertiary,0,0,0,0,31,management,single,tertiary,0,0,0,0,cellular,21,aug,2,-1,0,,14:28:54,14:32:32,0
24,HH6a0fa7c63b,cellular,1,jul,1,119,2,success,15:37:19,15:42:23,Accepted,Mercury,Topaz,2003,M,,,TRUE,2,TRUE,63,retired,married,secondary,0,2896,0,0,63,retired,married,secondary,0,2896,0,0,cellular,1,jul,1,119,2,success,15:37:19,15:42:23,1
25,HH8e04382632,cellular,9,feb,1,558,7,other,16:30:52,16:32:59,Accepted,Lamborghini,Countach,1997,M,,,FALSE,2,TRUE,60,technician,married,secondary,0,824,1,0,60,technician,married,secondary,0,824,1,0,cellular,9,feb,1,558,7,other,16:30:52,16:32:59,1
26,HH0ebd23807e,cellular,17,jul,2,-1,0,,17:06:47,17:11:22,DidNotAccept,Nissan,Pathfinder,2009,M,$827.82 ,Latin American Indian,FALSE,2,FALSE,29,management,married,tertiary,0,900,0,0,29,management,married,tertiary,0,900,0,0,cellular,17,jul,2,-1,0,,17:06:47,17:11:22,0
27,HH59fe0827b8,cellular,20,nov,3,-1,0,,10:09:02,10:10:46,DidNotAccept,Lexus,GX,2019,M,$565.04 ,,TRUE,4,FALSE,54,management,married,primary,0,3859,0,1,54,management,married,primary,0,3859,0,1,cellular,20,nov,3,-1,0,,10:09:02,10:10:46,0
28,HH48790e8956,cellular,21,apr,3,-1,0,,12:33:22,12:38:00,Accepted,BMW,Alpina B7,2017,M,,,TRUE,1,FALSE,45,,divorced,,0,0,0,0,45,,divorced,,0,0,0,0,cellular,21,apr,3,-1,0,,12:33:22,12:38:00,1
29,HH913b2fe6bb,,16,jun,3,-1,0,,13:50:40,13:52:29,DidNotAccept,Mazda,CX-7,,F,,,FALSE,3,FALSE,34,services,married,secondary,0,-62,1,0,34,services,married,secondary,0,-62,1,0,,16,jun,3,-1,0,,13:50:40,13:52:29,0
30,HH24bba1e369,,20,jun,14,-1,0,,10:36:52,10:37:05,DidNotAccept,Chevrolet,G-Series G10,2002,F,,,FALSE,5,TRUE,42,blue-collar,married,primary,0,832,0,0,42,blue-collar,married,primary,0,832,0,0,,20,jun,14,-1,0,,10:36:52,10:37:05,0
31,HH787bde3633,telephone,30,apr,3,84,3,success,11:49:24,12:02:10,Accepted,Ford,Courier,1996,F,,,FALSE,2,FALSE,54,technician,married,secondary,0,0,0,0,54,technician,married,secondary,0,0,0,0,telephone,30,apr,3,84,3,success,11:49:24,12:02:10,1
32,HH0a030f0318,cellular,2,jun,1,194,3,failure,10:23:34,10:26:08,DidNotAccept,Porsche,911,2011,M,,,FALSE,1,FALSE,32,admin.,single,secondary,0,6981,1,0,32,admin.,single,secondary,0,6981,1,0,cellular,2,jun,1,194,3,failure,10:23:34,10:26:08,0
33,HHaf7e5b31f8,cellular,13,aug,3,-1,0,,10:56:13,11:00:57,Accepted,Chevrolet,Caprice Classic,2003,F,,Paiute,FALSE,4,FALSE,57,retired,single,tertiary,0,842,0,0,57,retired,single,tertiary,0,842,0,0,cellular,13,aug,3,-1,0,,10:56:13,11:00:57,1
34,HHf30d125723,cellular,5,feb,2,-1,0,,15:36:06,15:42:29,DidNotAccept,Chevrolet,Suburban 1500,2019,M,,,FALSE,3,FALSE,36,management,divorced,tertiary,0,1057,0,0,36,management,divorced,tertiary,0,1057,0,0,cellular,5,feb,2,-1,0,,15:36:06,15:42:29,0
35,HH721e8c3433,,27,may,7,-1,0,,13:48:54,13:49:33,DidNotAccept,BMW,X5 M,2019,F,,,TRUE,5,FALSE,34,blue-collar,single,secondary,0,1698,1,0,34,blue-collar,single,secondary,0,1698,1,0,,27,may,7,-1,0,,13:48:54,13:49:33,0
36,HHe835fc18ba,cellular,14,may,1,-1,0,,14:50:44,14:59:10,DidNotAccept,GMC,Sonoma Club,2002,F,,,FALSE,3,TRUE,39,blue-collar,married,secondary,0,300,1,0,39,blue-collar,married,secondary,0,300,1,0,cellular,14,may,1,-1,0,,14:50:44,14:59:10,0
37,HH93e22eeed0,,21,may,3,-1,0,,11:03:37,11:20:04,DidNotAccept,Ford,F150,2015,F,,,TRUE,3,FALSE,31,blue-collar,married,secondary,0,664,1,1,31,blue-collar,married,secondary,0,664,1,1,,21,may,3,-1,0,,11:03:37,11:20:04,0
38,HH8c678e794f,cellular,30,jul,5,-1,0,,15:55:55,15:56:36,DidNotAccept,Hyundai,XG350,2012,F,,,FALSE,2,TRUE,33,admin.,married,secondary,0,0,1,0,33,admin.,married,secondary,0,0,1,0,cellular,30,jul,5,-1,0,,15:55:55,15:56:36,0
39,HH664b64fca0,cellular,18,jul,3,-1,0,,13:13:21,13:24:01,Accepted,Lexus,LS,2003,M,,,TRUE,3,TRUE,41,blue-collar,divorced,primary,0,138,1,0,41,blue-collar,divorced,primary,0,138,1,0,cellular,18,jul,3,-1,0,,13:13:21,13:24:01,1
40,HHadfa1ce0fe,cellular,17,nov,3,-1,0,,15:33:58,15:35:08,DidNotAccept,Scion,iQ,2019,M,,,FALSE,2,TRUE,35,admin.,married,secondary,0,216,1,1,35,admin.,married,secondary,0,216,1,1,cellular,17,nov,3,-1,0,,15:33:58,15:35:08,0
41,HH08c38e550a,,29,may,2,-1,0,,17:09:51,17:12:00,DidNotAccept,Cadillac,Catera,2009,M,,Uruguayan,FALSE,4,TRUE,32,management,married,secondary,0,3935,1,0,32,management,married,secondary,0,3935,1,0,,29,may,2,-1,0,,17:09:51,17:12:00,0
42,HH696b12b944,,29,may,1,-1,0,,11:29:28,11:31:42,DidNotAccept,Lotus,Elise,2019,M,,,FALSE,4,FALSE,40,blue-collar,married,secondary,0,327,1,0,40,blue-collar,married,secondary,0,327,1,0,,29,may,1,-1,0,,11:29:28,11:31:42,0
43,HH6f356470f8,cellular,5,feb,1,-1,0,,9:23:59,9:35:38,Accepted,Infiniti,FX,,M,,,FALSE,5,TRUE,35,management,single,tertiary,0,2707,0,0,35,management,single,tertiary,0,2707,0,0,cellular,5,feb,1,-1,0,,09:23:59,09:35:38,1
44,HH67b362e719,cellular,15,may,1,176,1,failure,10:50:44,10:57:56,Accepted,Bentley,Azure T,2019,F,$334.20 ,,FALSE,3,FALSE,40,admin.,married,secondary,0,2574,1,0,40,admin.,married,secondary,0,2574,1,0,cellular,15,may,1,176,1,failure,10:50:44,10:57:56,1
45,HH1d6ceaedcc,cellular,21,aug,1,-1,0,,11:15:10,11:15:46,DidNotAccept,Chevrolet,LUV,1989,M,,,FALSE,3,TRUE,60,management,married,tertiary,0,70,0,0,60,management,married,tertiary,0,70,0,0,cellular,21,aug,1,-1,0,,11:15:10,11:15:46,0
46,HHe0678b0f6a,,3,jun,3,-1,0,,16:20:13,16:22:06,DidNotAccept,Chrysler,PT Cruiser,2019,F,,Vietnamese,FALSE,4,FALSE,35,blue-collar,single,secondary,0,0,1,0,35,blue-collar,single,secondary,0,0,1,0,,3,jun,3,-1,0,,16:20:13,16:22:06,0
47,HHf4c6f20e60,cellular,23,jul,1,-1,0,,12:00:12,12:12:53,Accepted,Pontiac,Sunfire,2015,F,,,TRUE,2,TRUE,42,management,divorced,secondary,0,283,1,0,42,management,divorced,secondary,0,283,1,0,cellular,23,jul,1,-1,0,,12:00:12,12:12:53,1
48,HH61f7237347,cellular,9,oct,2,-1,0,,16:23:38,16:42:04,Accepted,BMW,745,2012,M,,,FALSE,1,FALSE,79,retired,divorced,primary,0,79,0,0,79,retired,divorced,primary,0,79,0,0,cellular,9,oct,2,-1,0,,16:23:38,16:42:04,1
49,HH5bf0d252e3,,2,jun,4,-1,0,,17:02:45,17:03:56,DidNotAccept,Subaru,Loyale,2004,M,$26.13 ,,TRUE,1,TRUE,46,admin.,single,secondary,0,13,0,0,46,admin.,single,secondary,0,13,0,0,,2,jun,4,-1,0,,17:02:45,17:03:56,0
50,HHd1a8601d10,cellular,4,feb,4,-1,0,,9:31:15,9:34:42,DidNotAccept,Oldsmobile,98,2003,M,,,FALSE,5,FALSE,33,technician,divorced,secondary,0,464,0,0,33,technician,divorced,secondary,0,464,0,0,cellular,4,feb,4,-1,0,,09:31:15,09:34:42,0
51,HH2a31912b90,cellular,16,apr,1,-1,0,,16:18:17,16:22:40,DidNotAccept,Infiniti,QX,,F,,,FALSE,2,FALSE,54,services,divorced,,0,0,1,0,54,services,divorced,,0,0,1,0,cellular,16,apr,1,-1,0,,16:18:17,16:22:40,0
52,HH50f9a43871,,17,jun,1,-1,0,,10:33:05,10:34:17,DidNotAccept,Mercury,Grand Marquis,2012,M,"$1,089.14 ",,TRUE,5,TRUE,46,housemaid,married,primary,0,17,0,0,46,housemaid,married,primary,0,17,0,0,,17,jun,1,-1,0,,10:33:05,10:34:17,0
53,HHf50b8026c1,cellular,20,nov,1,-1,0,,13:17:32,13:25:06,Accepted,Cadillac,Escalade ESV,2018,F,,,FALSE,1,FALSE,47,self-employed,married,secondary,0,4420,1,1,47,self-employed,married,secondary,0,4420,1,1,cellular,20,nov,1,-1,0,,13:17:32,13:25:06,1
54,HHc6c517ee4e,telephone,20,may,3,-1,0,,16:00:27,16:06:18,Accepted,Dodge,Ram 1500,2007,M,,,FALSE,5,TRUE,78,retired,married,,0,3208,0,0,78,retired,married,,0,3208,0,0,telephone,20,may,3,-1,0,,16:00:27,16:06:18,1
55,HHbcb018830e,cellular,29,jan,1,-1,0,,9:59:19,10:01:23,DidNotAccept,GMC,Rally Wagon 2500,2004,F,,Alaska Native,FALSE,2,FALSE,31,blue-collar,married,secondary,0,326,0,1,31,blue-collar,married,secondary,0,326,0,1,cellular,29,jan,1,-1,0,,09:59:19,10:01:23,0
56,HHa70fb3918e,telephone,2,feb,3,-1,0,,16:04:36,16:28:16,Accepted,,Impala,2019,M,"$1,219.23 ",,TRUE,4,TRUE,39,services,married,secondary,0,52,0,0,39,services,married,secondary,0,52,0,0,telephone,2,feb,3,-1,0,,16:04:36,16:28:16,1
57,HH301d7478c4,cellular,21,nov,1,171,5,failure,14:28:33,14:33:16,DidNotAccept,Mercedes-Benz,SL-Class,2006,M,,,FALSE,3,TRUE,31,admin.,married,secondary,0,457,1,0,31,admin.,married,secondary,0,457,1,0,cellular,21,nov,1,171,5,failure,14:28:33,14:33:16,0
58,HH7b4fa1e31c,cellular,13,oct,1,327,1,failure,17:42:06,17:43:38,DidNotAccept,BMW,X3,2019,F,,,FALSE,2,TRUE,46,entrepreneur,divorced,secondary,0,1187,0,1,46,entrepreneur,divorced,secondary,0,1187,0,1,cellular,13,oct,1,327,1,failure,17:42:06,17:43:38,0
59,HHef87ab562c,cellular,18,may,1,-1,0,,13:52:00,14:02:12,Accepted,GMC,Sierra 2500,2017,M,,,FALSE,1,FALSE,34,management,single,,0,6013,1,0,34,management,single,,0,6013,1,0,cellular,18,may,1,-1,0,,13:52:00,14:02:12,1
60,HH2d81042181,cellular,26,may,1,-1,0,,12:25:24,12:30:33,DidNotAccept,Plymouth,Colt,2002,F,,,FALSE,3,FALSE,52,unemployed,married,secondary,0,5091,0,0,52,unemployed,married,secondary,0,5091,0,0,cellular,26,may,1,-1,0,,12:25:24,12:30:33,0
61,HHe5272f3e75,cellular,28,aug,4,-1,0,,15:13:44,15:15:05,DidNotAccept,Mitsubishi,Eclipse,2005,F,,,FALSE,3,TRUE,36,management,divorced,tertiary,0,0,0,0,36,management,divorced,tertiary,0,0,0,0,cellular,28,aug,4,-1,0,,15:13:44,15:15:05,0
62,HHa60c5c38d7,cellular,18,nov,2,-1,0,,16:56:27,17:16:08,Accepted,Hyundai,Veracruz,,M,,Comanche,FALSE,5,FALSE,39,entrepreneur,married,secondary,0,11887,0,0,39,entrepreneur,married,secondary,0,11887,0,0,cellular,18,nov,2,-1,0,,16:56:27,17:16:08,1
63,HHeb71dc4a1a,cellular,12,aug,1,-1,0,,13:30:30,13:34:57,Accepted,Mitsubishi,Galant,2019,M,,,TRUE,1,FALSE,18,student,single,primary,0,608,0,0,18,student,single,primary,0,608,0,0,cellular,12,aug,1,-1,0,,13:30:30,13:34:57,1
64,HHe59d1b62ec,,23,may,2,-1,0,,16:36:39,16:38:51,DidNotAccept,Jaguar,S-Type,2016,F,,,TRUE,2,TRUE,60,services,married,secondary,0,-46,0,0,60,services,married,secondary,0,-46,0,0,,23,may,2,-1,0,,16:36:39,16:38:51,0
65,HH2b0fec4129,cellular,15,may,4,-1,0,,9:43:23,10:00:05,Accepted,Mitsubishi,GTO,2000,M,,,FALSE,5,FALSE,36,services,single,secondary,0,0,1,0,36,services,single,secondary,0,0,1,0,cellular,15,may,4,-1,0,,09:43:23,10:00:05,1
66,HH1863fe3c06,cellular,1,jun,1,-1,0,,14:55:01,14:59:56,Accepted,Chevrolet,Silverado 1500,,F,,Menominee,TRUE,5,FALSE,57,management,married,tertiary,0,473,0,0,57,management,married,tertiary,0,473,0,0,cellular,1,jun,1,-1,0,,14:55:01,14:59:56,1
67,HHd4f65a8732,cellular,29,jan,1,-1,0,,12:28:55,12:29:20,DidNotAccept,Ford,Escape,2019,F,,Alaskan Athabascan,TRUE,3,FALSE,28,blue-collar,single,secondary,0,1955,0,0,28,blue-collar,single,secondary,0,1955,0,0,cellular,29,jan,1,-1,0,,12:28:55,12:29:20,0
68,HH25a8b233b0,cellular,20,apr,1,-1,0,,10:53:09,10:56:14,DidNotAccept,Mazda,Miata MX-5,2012,M,,Polynesian,TRUE,5,TRUE,30,management,married,tertiary,0,860,1,0,30,management,married,tertiary,0,860,1,0,cellular,20,apr,1,-1,0,,10:53:09,10:56:14,0
69,HH13a4034e11,cellular,15,apr,1,-1,0,,17:24:03,17:26:18,Accepted,Suzuki,Swift,1999,M,,,TRUE,4,FALSE,41,blue-collar,married,secondary,0,2689,1,0,41,blue-collar,married,secondary,0,2689,1,0,cellular,15,apr,1,-1,0,,17:24:03,17:26:18,1
70,HH1a5c1f03b4,,18,jun,1,-1,0,,17:14:32,17:19:48,DidNotAccept,Hyundai,Azera,2017,M,,,FALSE,3,TRUE,58,management,married,tertiary,0,3768,1,0,58,management,married,tertiary,0,3768,1,0,,18,jun,1,-1,0,,17:14:32,17:19:48,0
71,HH26c0a747fd,cellular,7,may,2,-1,0,,9:25:35,9:48:46,Accepted,Dodge,Durango,2011,F,,,TRUE,1,TRUE,23,housemaid,married,tertiary,0,66,1,0,23,housemaid,married,tertiary,0,66,1,0,cellular,7,may,2,-1,0,,09:25:35,09:48:46,1
72,HHe127b2b7a7,,26,may,2,-1,0,,14:51:53,14:57:34,DidNotAccept,Pontiac,Grand Prix,1988,F,$338.73 ,,TRUE,4,FALSE,29,admin.,married,secondary,0,494,1,0,29,admin.,married,secondary,0,494,1,0,,26,may,2,-1,0,,14:51:53,14:57:34,0
73,HH9fb8de2497,cellular,2,sep,7,94,2,other,14:02:27,14:05:53,DidNotAccept,Honda,Prelude,2006,F,,,TRUE,3,FALSE,25,technician,single,secondary,0,1298,0,0,25,technician,single,secondary,0,1298,0,0,cellular,2,sep,7,94,2,other,14:02:27,14:05:53,0
74,HHa4599f6cf2,,29,may,3,-1,0,,13:50:30,13:53:59,DidNotAccept,Pontiac,Sunfire,2009,F,,,TRUE,3,FALSE,39,blue-collar,married,secondary,0,0,1,0,39,blue-collar,married,secondary,0,0,1,0,,29,may,3,-1,0,,13:50:30,13:53:59,0
75,HHbb2c74cd56,cellular,27,aug,4,-1,0,,17:29:40,17:30:38,DidNotAccept,Pontiac,Sunfire,2005,F,,,TRUE,1,TRUE,45,technician,divorced,tertiary,0,0,0,0,45,technician,divorced,tertiary,0,0,0,0,cellular,27,aug,4,-1,0,,17:29:40,17:30:38,0
76,HH80a864dee0,cellular,10,feb,1,183,1,failure,13:29:13,13:32:02,Accepted,Dodge,Caliber,2018,M,,,FALSE,5,TRUE,55,technician,divorced,secondary,0,3450,0,0,55,technician,divorced,secondary,0,3450,0,0,cellular,10,feb,1,183,1,failure,13:29:13,13:32:02,1
77,HH6d7bd75027,cellular,23,jun,1,320,1,other,11:55:36,11:58:37,DidNotAccept,Maserati,Quattroporte,2017,F,,,TRUE,4,FALSE,32,technician,married,tertiary,0,903,1,0,32,technician,married,tertiary,0,903,1,0,cellular,23,jun,1,320,1,other,11:55:36,11:58:37,0
78,HHba012e4b8f,,30,may,1,-1,0,,13:20:59,13:26:11,DidNotAccept,Jeep,Wrangler,2002,F,,,TRUE,2,FALSE,36,management,married,tertiary,0,722,1,0,36,management,married,tertiary,0,722,1,0,,30,may,1,-1,0,,13:20:59,13:26:11,0
79,HHee9033b580,cellular,15,may,1,176,1,failure,15:14:20,15:16:53,DidNotAccept,Dodge,Viper,2009,M,"$1,043.78 ",,FALSE,1,FALSE,34,management,single,tertiary,0,11350,1,0,34,management,single,tertiary,0,11350,1,0,cellular,15,may,1,176,1,failure,15:14:20,15:16:53,0
80,HH3e484b0b89,,29,may,1,-1,0,,15:54:02,15:59:24,DidNotAccept,Volkswagen,Passat,2005,M,,,TRUE,2,TRUE,39,technician,single,secondary,0,556,1,0,39,technician,single,secondary,0,556,1,0,,29,may,1,-1,0,,15:54:02,15:59:24,0
81,HHb539944d00,,15,may,3,-1,0,,11:50:19,12:11:16,Accepted,Nissan,300ZX,2004,F,$969.72 ,Ecuadorian,FALSE,3,FALSE,49,admin.,single,secondary,0,716,1,0,49,admin.,single,secondary,0,716,1,0,,15,may,3,-1,0,,11:50:19,12:11:16,1
82,HHb1ae8c200f,cellular,27,aug,6,-1,0,,9:17:05,9:18:02,DidNotAccept,Mercedes-Benz,CL-Class,2019,F,,,TRUE,3,FALSE,37,technician,married,tertiary,0,143,0,0,37,technician,married,tertiary,0,143,0,0,cellular,27,aug,6,-1,0,,09:17:05,09:18:02,0
83,HH553a65578b,cellular,12,may,2,-1,0,,14:56:02,15:00:51,Accepted,Honda,Accord,1999,M,"$1,307.80 ",,FALSE,4,FALSE,47,blue-collar,married,secondary,0,802,1,1,47,blue-collar,married,secondary,0,802,1,1,cellular,12,may,2,-1,0,,14:56:02,15:00:51,1
84,HHada635be07,,17,jun,1,-1,0,,10:54:42,10:56:16,DidNotAccept,Oldsmobile,LSS,2009,F,,,TRUE,1,FALSE,49,retired,single,primary,0,25824,0,0,49,retired,single,primary,0,25824,0,0,,17,jun,1,-1,0,,10:54:42,10:56:16,0
85,HHa372f18f9a,cellular,29,jan,2,-1,0,,9:49:16,10:21:13,Accepted,Chevrolet,Avalanche 2500,2012,F,,,FALSE,2,TRUE,49,unemployed,married,primary,0,518,0,0,49,unemployed,married,primary,0,518,0,0,cellular,29,jan,2,-1,0,,09:49:16,10:21:13,1
86,HH56eb96495c,cellular,10,jul,1,-1,0,,17:50:22,17:54:50,DidNotAccept,Ford,GT500,2018,F,,,TRUE,4,FALSE,34,admin.,divorced,secondary,0,0,0,0,34,admin.,divorced,secondary,0,0,0,0,cellular,10,jul,1,-1,0,,17:50:22,17:54:50,0
87,HH7250e97d65,,7,may,1,-1,0,,11:24:19,11:28:06,DidNotAccept,GMC,Envoy XL,2016,F,,Sri Lankan,FALSE,5,FALSE,40,blue-collar,married,secondary,1,-94,1,1,40,blue-collar,married,secondary,1,-94,1,1,,7,may,1,-1,0,,11:24:19,11:28:06,0
88,HHa39c74bf85,cellular,13,may,2,-1,0,,11:48:53,12:09:00,Accepted,Mercury,Tracer,2008,M,,,TRUE,3,TRUE,33,services,married,secondary,0,210,1,0,33,services,married,secondary,0,210,1,0,cellular,13,may,2,-1,0,,11:48:53,12:09:00,1
89,HHfd0ca0e875,cellular,15,may,3,352,6,other,16:43:03,16:50:43,DidNotAccept,Honda,Odyssey,2013,F,,Costa Rican,TRUE,5,FALSE,40,admin.,single,secondary,0,60,1,0,40,admin.,single,secondary,0,60,1,0,cellular,15,may,3,352,6,other,16:43:03,16:50:43,0
